feature,importance
"location_name_Asheville, North Carolina, United States",0.29402307
bathrooms_numeric,0.17048948
room_type_Hotel room,0.07119226
room_type_Entire home/apt,0.055114314
accommodates,0.04646664
bedrooms,0.045420665
"location_name_East Asheville, North Carolina, United States",0.038918287
"location_name_North Asheville, North Carolina, United States",0.037395235
"location_name_Arden, North Carolina, United States",0.036749136
maximum_nights_avg_ntm,0.030014135
minimum_nights_avg_ntm,0.028925963
beds,0.02397287
"location_name_West Asheville, North Carolina, United States",0.02142791
availability_365,0.021005576
"location_name_Fletcher, North Carolina, United States",0.02017096
room_type_Private room,0.018004233
"location_name_Asheville Biltmore, North Carolina, United States",0.016404178
"location_name_Candler, North Carolina, United States",0.013326884
room_type_Shared room,0.010978334
